epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
364000,0.7789,0.1140,0.0828,0.0361,0.0000,0.0000,0.0000,0,22.1,0.9702,1.0000,0.0794
366000,0.7789,0.1064,0.0691,0.0403,0.0000,0.0000,0.0000,0,21.0,0.9717,1.0000,0.0832
368000,0.7783,0.1086,0.0786,0.0349,0.0000,0.0000,0.0000,0,19.6,0.9731,1.0000,0.0852
370000,0.7803,0.1079,0.0754,0.0371,0.0000,0.0000,0.0000,0,21.3,0.9697,1.0000,0.0861
372000,0.7831,0.1072,0.0732,0.0381,0.0000,0.0000,0.0000,0,21.6,0.9700,1.0000,0.0828
374000,0.7825,0.1128,0.0786,0.0386,0.0000,0.0000,0.0000,0,20.7,0.9741,1.0000,0.0835
376000,0.7758,0.1155,0.0813,0.0364,0.0000,0.0000,0.0000,0,20.0,0.9734,1.0000,0.0830
378000,0.7825,0.1086,0.0776,0.0359,0.0000,0.0000,0.0000,0,20.3,0.9727,1.0000,0.0853
380000,0.7812,0.0930,0.0710,0.0259,0.0000,0.0000,0.0000,0,20.4,0.9722,1.0000,0.0843
382000,0.7729,0.1045,0.0750,0.0327,0.0000,0.0000,0.0000,0,22.3,0.9685,1.0000,0.0816
384000,0.7780,0.1079,0.0752,0.0361,0.0000,0.0000,0.0000,0,18.5,0.9753,1.0000,0.0844
386000,0.7803,0.1086,0.0745,0.0371,0.0000,0.0000,0.0000,0,19.0,0.9751,1.0000,0.0826
388000,0.7841,0.1045,0.0740,0.0339,0.0000,0.0000,0.0000,0,20.8,0.9717,1.0000,0.0820
390000,0.7792,0.1143,0.0833,0.0349,0.0000,0.0000,0.0000,0,22.4,0.9683,1.0000,0.0854
392000,0.7788,0.0999,0.0708,0.0327,0.0000,0.0000,0.0000,0,20.9,0.9719,1.0000,0.0823
394000,0.7786,0.1243,0.0862,0.0410,0.0000,0.0000,0.0000,0,19.8,0.9724,1.0000,0.0842
396000,0.7773,0.1045,0.0791,0.0310,0.0000,0.0000,0.0000,0,21.2,0.9712,1.0000,0.0823
398000,0.7776,0.1033,0.0752,0.0332,0.0000,0.0000,0.0000,0,21.5,0.9702,1.0000,0.0864
400000,0.7802,0.1184,0.0847,0.0405,0.0000,0.0000,0.0000,0,21.5,0.9709,1.0000,0.0829
402000,0.7764,0.1074,0.0786,0.0330,0.0000,0.0000,0.0000,0,24.2,0.9646,1.0000,0.0815
404000,0.7819,0.1084,0.0706,0.0415,0.0000,0.0000,0.0000,0,22.5,0.9688,1.0000,0.0817
406000,0.7834,0.0991,0.0728,0.0300,0.0000,0.0000,0.0000,0,22.9,0.9658,1.0000,0.0806
408000,0.7753,0.1035,0.0698,0.0376,0.0000,0.0000,0.0000,0,24.6,0.9648,1.0000,0.0849
