epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
3740,0.7773,0.9980,0.9980,0.0000,0.4084,0.4084,0.9878,1,38.4,0.9934,1.0000,0.1062
3760,0.7842,0.9966,0.9966,0.0000,0.3748,0.3748,0.9880,1,37.8,0.9927,1.0000,0.1043
3780,0.7839,0.9976,0.9976,0.0002,0.4033,0.4033,0.9863,1,39.0,0.9924,1.0000,0.1024
3800,0.7777,0.9976,0.9976,0.0002,0.3679,0.3679,0.9866,1,37.8,0.9924,1.0000,0.1017
3820,0.7788,0.9963,0.9963,0.0000,0.3616,0.3616,0.9832,1,38.5,0.9922,1.0000,0.1013
3840,0.7781,0.9971,0.9971,0.0015,0.3625,0.3625,0.9839,1,38.2,0.9929,0.9980,0.1023
3860,0.7748,0.9932,0.9932,0.0000,0.3313,0.3313,0.9805,1,38.9,0.9888,0.9980,0.1013
3880,0.7755,0.9937,0.9937,0.0000,0.3340,0.3340,0.9844,1,36.5,0.9946,1.0000,0.1002
3900,0.7769,0.9973,0.9973,0.0000,0.3308,0.3303,0.9827,1,37.2,0.9910,1.0000,0.0976
3920,0.7805,0.9973,0.9973,0.0002,0.3328,0.3328,0.9856,1,36.3,0.9954,1.0000,0.0955
3940,0.7767,0.9968,0.9968,0.0012,0.3442,0.3442,0.9846,1,37.8,0.9919,1.0000,0.0938
3960,0.7842,0.9968,0.9968,0.0029,0.3606,0.3606,0.9849,1,36.9,0.9939,0.9980,0.0954
3980,0.7799,0.9966,0.9966,0.0037,0.3435,0.3435,0.9858,1,37.2,0.9939,1.0000,0.0953
4000,0.7786,0.9973,0.9973,0.0032,0.3354,0.3354,0.9878,1,36.2,0.9954,1.0000,0.0938
4020,0.7800,0.9968,0.9968,0.0042,0.3230,0.3228,0.9871,1,37.5,0.9937,0.9980,0.0919
4040,0.7809,0.9961,0.9961,0.0044,0.3201,0.3201,0.9888,1,35.8,0.9961,0.9980,0.0908
4060,0.7817,0.9980,0.9980,0.0027,0.3108,0.3108,0.9851,1,36.9,0.9932,1.0000,0.0901
4080,0.7830,0.9949,0.9949,0.0046,0.3206,0.3201,0.9844,1,36.7,0.9944,0.9980,0.0888
4100,0.7842,0.9958,0.9958,0.0032,0.3193,0.3193,0.9856,1,37.3,0.9934,0.9980,0.0871
4120,0.7802,0.9956,0.9956,0.0029,0.3188,0.3188,0.9834,1,37.9,0.9929,1.0000,0.0872
4140,0.7819,0.9951,0.9951,0.0051,0.3027,0.3027,0.9861,1,37.0,0.9937,1.0000,0.0877
4160,0.7755,0.9983,0.9983,0.0037,0.3167,0.3167,0.9849,1,37.3,0.9941,1.0000,0.0883
4180,0.7798,0.9973,0.9973,0.0010,0.3013,0.3013,0.9856,1,37.3,0.9939,1.0000,0.0884
4200,0.7795,0.9966,0.9966,0.0007,0.2783,0.2783,0.9878,1,36.3,0.9932,1.0000,0.0910
4220,0.7827,0.9963,0.9963,0.0017,0.2703,0.2703,0.9890,1,34.4,0.9951,1.0000,0.0931
4240,0.7755,0.9963,0.9963,0.0000,0.2466,0.2466,0.9851,1,35.1,0.9937,1.0000,0.0945
4260,0.7740,0.9976,0.9976,0.0000,0.2510,0.2510,0.9878,1,34.9,0.9951,1.0000,0.0945
4280,0.7786,0.9971,0.9971,0.0000,0.2603,0.2600,0.9846,1,37.2,0.9919,1.0000,0.0958
4300,0.7749,0.9973,0.9973,0.0000,0.2793,0.2793,0.9856,1,36.0,0.9949,0.9980,0.0972
4320,0.7856,0.9968,0.9968,0.0002,0.2573,0.2573,0.9875,1,36.3,0.9939,1.0000,0.0976
4340,0.7764,0.9963,0.9963,0.0000,0.2468,0.2468,0.9844,1,37.7,0.9907,1.0000,0.0982
4360,0.7810,0.9966,0.9966,0.0000,0.2104,0.2104,0.9866,1,35.0,0.9944,1.0000,0.1017
4380,0.7839,0.9976,0.9976,0.0000,0.2295,0.2295,0.9851,1,35.9,0.9932,1.0000,0.0988
4400,0.7837,0.9976,0.9976,0.0000,0.2283,0.2283,0.9844,1,36.0,0.9929,1.0000,0.0992
4420,0.7783,0.9966,0.9966,0.0000,0.2229,0.2229,0.9890,1,35.3,0.9954,0.9980,0.0974
